unique_id,instrument,bjd,rv,rv_err,fwhm,contrast,BIS
00492307,Hermes,56549.3733433,-22.2291844229,0.032,14.3644022747,0.36,-0.221624765512
00492416,Hermes,56549.473578,-21.2290778853,0.031,14.0582756688,0.37,-0.273646101556
00492420,Hermes,56549.531571,-20.6444467312,0.031,13.9169864661,0.37,-0.306200615201
00492423,Hermes,56549.5968155,-19.9726311541,0.031,13.7992454639,0.38,-0.344545373704
00492519,Hermes,56549.6564916,-19.363,0.031,13.7050526621,0.38,-0.389197087653
00492525,Hermes,56549.7521967,-18.4101844229,0.031,13.6579562612,0.39,-0.462250172967
00492642,Hermes,56550.350464,-12.4281844229,0.035,14.8824626846,0.39,-0.856280739353
00492737,Hermes,56550.4035305,-11.8868155771,0.035,15.0708482882,0.39,-0.910187522952
00492801,Hermes,56550.5214263,-10.722,0.037,15.5653604977,0.38,-1.05941376838
00492810,Hermes,56550.6187848,-9.84055326881,0.038,16.0127763062,0.38,-1.16379039288
00492822,Hermes,56550.6694524,-9.33418442294,0.039,16.2482583107,0.38,-1.19925467191
00492831,Hermes,56550.7593496,-8.495,0.04,16.7663187206,0.37,-1.22981115656
00492939,Hermes,56551.3505919,-3.41,0.047,19.3801689706,0.35,-1.50422046366
00492941,Hermes,56551.356332,-3.354,0.047,19.3801689706,0.35,-1.51602391035
00492947,Hermes,56551.430779,-2.55344673119,0.049,19.662747376,0.35,-1.63248833732
00492992,Hermes,56551.5394469,-1.35618442294,0.054,20.1572595855,0.34,-1.83666871026
00493001,Hermes,56551.6247995,-0.347368845876,0.058,20.5811271936,0.33,-1.99228412364
00493111,Hermes,56551.7553756,1.17218442294,0.065,21.334669608,0.32,-2.28430620772
00493233,Hermes,56552.3515717,-0.847184422938,0.081,24.6078694706,0.24,-2.14243095753
00493261,Hermes,56552.4217082,-4.01181557706,0.075,24.2075500629,0.24,-1.6214669666
00493274,Hermes,56552.7184417,-23.4313688459,0.061,20.5340307927,0.23,0.289268942429
00493398,Hermes,56553.3576579,-34.2744467312,0.062,19.2153315675,0.21,0.601765512129
00493464,Hermes,56553.4032617,-34.036,0.061,19.1682351666,0.21,0.527086659633
00493483,Hermes,56553.5955084,-32.6978155771,0.055,18.720819358,0.23,0.340913833948
00493489,Hermes,56553.6478316,-32.2911844229,0.054,18.5324337544,0.24,0.295000348098
00493546,Hermes,56553.7529557,-31.403,0.049,18.1085661463,0.25,0.228964383051
